,id,name,colors,Category,Description,price,link
348,DX3670-407,Nike Sportswear,Dark Marina Blue/Yellow Ochre/Dark Marina BlueStyle,Men's T-Shirt,"Fill your bag with comfort in this loose-fitting cotton tee. A roomy feel, soft cotton and fresh graphics take you from the checkout queue to the streets in style that's ready for the picking.",2 495,https://www.nike.com/in/t/sportswear-t-shirt-jWbqxs/DX3670-407
349,DQ6177-087,Nike,Moon Fossil/Light BoneStyle,"Men's 6"" (approx. 15cm) Premium Basketball Shorts",Nike Basketball takes it back to the grunge era in our premium shorts. They combine a roomy fit and a length that hits above the knee with performance feel for beyond the court. A leopard print shows off your '90s spirit.,5 195,https://www.nike.com/in/t/6-basketball-shorts-BV65w4/DQ6177-087
350,DQ6612-412,Nike Dri-FIT Flex,Blue Whisper/Lemon ChiffonStyle,"Men's 9"" (23cm approx.) Woven Fitness Shorts","Keep moving during your high-intensity workout in our Flex Woven Shorts. We added a bold take on the Swoosh logo, while still maintaining the stretch you need to go for every lunge or squat.",2 495,https://www.nike.com/in/t/dri-fit-flex-9-woven-fitness-shorts-kdP87D/DQ6612-412
351,DZ0604-514,Jordan Flight Essentials,Dark ConcordStyle,Men's Oversized T-Shirt,"Big 'n' baggy for comfort and style. This super-soft tee features longer sleeves and dropped shoulders. Combined with a minimal Jumpman woven chest patch, you're lookin' n-i-c-e.",2 495,https://www.nike.com/in/t/jordan-flight-essentials-oversized-t-shirt-84459x/DZ0604-514
352,DQ5778-891,Nike ACG Therma-FIT ADV 'Rope de Dope',Team Orange/Safety Orange/Summit WhiteStyle,Men's Full-Zip Gilet,"Cold conditions are just an invitation for new discovery. Our ACG Therma-FIT ADV 'Rope De Dope' Gilet combines innovative technology with an insulated design for comfort tailored to all conditions. Best of all, it packs down small so you can stow it in a pocket when the trail heats up.",10 995,https://www.nike.com/in/t/acg-adv-rope-de-dope-gilet-qLkv0j/DQ5778-891
353,DQ5657-010,Giannis Nike Dri-FIT,Black/Sail/SailStyle,Men's Mesh (15cm approx.) Basketball Shorts,"Suit up in sweat-wicking mesh shorts with prints inspired by the 9th wonder of the world—Giannis. Channel his championship mentality with a smooth, easy feel that lets you move up the court and beyond with ease.",2 895,https://www.nike.com/in/t/giannis-dri-fit-mesh-6-basketball-shorts-1H7vvZ/DQ5657-010
354,DQ4762-325,Nike Dri-FIT Stride Run Division,Cargo KhakiStyle,Men's 2-In-1 Running Shorts,"Transition from work to route and maintain your pace in the lightweight feel of our Run Division Shorts. A 2-in-1 design means you have the support of tights with the breathable, free-flowing feel of your favourite shorts.",3 695,https://www.nike.com/in/t/dri-fit-stride-run-division-2-in-1-running-shorts-pSlGQz/DQ4762-325
355,DM4714-455,Nike Dri-FIT Wild Run Challenger,Deep Royal Blue/Medium Blue/WhiteStyle,Men's 18cm (approx.) Brief-Lined Running Shorts,"The wild beckons. Answer the call in the Nike Challenger Wild Run Shorts. They feature the same sweat-wicking fabric and articulated brief you love with details highlighting the tempo of your feet as they hit their stride. Graphics nod to running as music, with the tempo of your feet, serving as the beat. This product is made from at least 75% recycled polyester fibres.",2 195,https://www.nike.com/in/t/dri-fit-wild-run-challenger-18cm-brief-lined-running-shorts-5m1dS0/DM4714-455
356,DH4892-010,Korea AWF,Black/WhiteStyle,Men's Winterized Full-Zip Football Jacket,"Stand proudly with your team as an all-weather fan in the Korea Jacket. Soft fleece and a water-repellent finish help keep you dry and warm when you're cheering on your squad in cool, wet conditions.",5 495,https://www.nike.com/in/t/korea-awf-winterized-football-jacket-0Nb2vJ/DH4892-010
357,DR1900-068,Nike Dri-FIT ADV A.P.S.,Iron Grey/BlackStyle,Men's Recovery Training Top,"Ready for anything, at any time. That's where we started with the Axis Performance System (A.P.S.) Recovery Top. It's a compressive base layer with a smooth, stretchy feel that keeps you going after your high-intensity workout has ended. Plus, it's powered by advanced sweat-wicking technology, so you stay comfortable even when your workout turns up the heat.",3 495,https://www.nike.com/in/t/dri-fit-adv-aps-recovery-training-top-kT3VN6/DR1900-068
358,DQ1882-100,LeBron,WhiteStyle,Men's Basketball T-Shirt,"LeBron is a king on the court and a master of finding ways to unleash his power and break through the defence. We celebrate that basketball instinct with a safari print on a soft, roomy tee.",1 795,https://www.nike.com/in/t/lebron-basketball-t-shirt-d5gDLc/DQ1882-100
359,DJ7736-451,F.C. Barcelona 2022/23 Stadium Home,Obsidian/University Red/University Red/SesameStyle,Men's Nike Dri-FIT Football Shorts,"Like other shorts from our Stadium collection, these pair replica design details with sweat-wicking fabric to give you a match-ready look inspired by your favourite team. This product is made from 100% recycled polyester fibres.",2 495,https://www.nike.com/in/t/fc-barcelona-2022-23-stadium-home-dri-fit-football-shorts-zGsZst/DJ7736-451
360,DO6597-010,Jordan x Zion,BlackStyle,Men's Long-Sleeve T-Shirt,Zion is a super fan of anime and now you can rep his passion on the Jordan x Zion T-Shirt. Flex his favourite show on soft and heavyweight cotton that's perfect from workouts to hangouts.,2 495,https://www.nike.com/in/t/jordan-zion-long-sleeve-t-shirt-mqMhdW/DO6597-010
361,DQ4729-325,Nike Dri-FIT Challenger Run Division,Cargo KhakiStyle,Men's 13cm (approx.) Brief-Lined Running Shorts,"When every run is a competition for more miles, our Challenger Shorts are there to take you through the finish. We tuned the Run Division version to provide smooth support that keeps you comfortable while you strive for a better time.",2 495,https://www.nike.com/in/t/dri-fit-challenger-run-division-13cm-brief-lined-running-shorts-SpRZbb/DQ4729-325
362,DJ3643-010,Nike ACG,BlackStyle,Men's Short-Sleeve T-Shirt,"Loose, roomy, outdoor ready.The Nike ACG T-Shirt keeps things comfy with a graphic repping All Conditions Gear. This product is made from 100% sustainable materials, using a blend of both recycled polyester and organic cotton fibres.The blend is at least 10% recycled fibres or at least 10% organic cotton fibres.",2 195,https://www.nike.com/in/t/acg-short-sleeve-t-shirt-9sHcl3/DJ3643-010
363,DQ6627-706,Nike Dri-FIT Q5,Lemon Chiffon/Blue Whisper/BlackStyle,Men's Short-Sleeve Fitness Top,"This sweat-wicking top helps keep you cool, dry and comfortable through all your workouts—this time with a bold take on the Swoosh logo. It brings that soft, lightweight feel to help you focus on your exercise routine.",2 195,https://www.nike.com/in/t/dri-fit-q5-short-sleeve-fitness-top-ppPw9F/DQ6627-706
364,DR8067-100,Nike Sportswear,WhiteStyle,Men's T-Shirt,"This NSW tee is made with our everyday cotton fabric and a classic fit for a familiar feel straight out of the bag. Our heatwave graphics add a dose of peace, unity and drip to your street-ready style.",1 795,https://www.nike.com/in/t/sportswear-t-shirt-3nrsl1/DR8067-100
365,DR2964-316,Jordan x J Balvin,Jade Aura/Enamel GreenStyle,Men's Shorts,"Your favourite Jordan Brand shorts get a J Balvin remix with UV-reactive screen prints that shift colours when you step out on a sunny day. They're great for warm summer nights, too—saturated with bright colours, they'll stand out from the court to the dance floor.",5 195,https://www.nike.com/in/t/jordan-j-balvin-shorts-6c3Bdt/DR2964-316
366,DX9290-679,Korea 2022/23 Match Home,Global Red/Pepper Red/BlackStyle,Men's Nike Dri-FIT ADV Football Shirt,"Our Match collection pairs authentic design details with lightweight, quick-drying technology to help keep the world's biggest football stars cool and comfortable on the pitch.",7 995,https://www.nike.com/in/t/korea-2022-23-match-home-dri-fit-adv-football-shirt-jfJPXq/DX9290-679
367,CW3669-741,Lakers Icon Edition 2020,Amarillo/Field PurpleStyle,Nike NBA Swingman Jersey,"The Icon Edition jersey represents the franchise's rich heritage and iconic identity, expressed through the team's bold colours. The Nike NBA Icon Edition Swingman Jersey of the Los Angeles Lakers is inspired by what the pros wear. Premium double-knit fabric has a classic jersey construction and a fit that looks good from all angles. This product is made from 100% recycled polyester fibres.",4 995,https://www.nike.com/in/t/lakers-icon-edition-2020-nba-swingman-jersey-Bclg85/CW3669-741
368,DV9320-121,Nike,Summit WhiteStyle,Men's Football T-Shirt,"Our Nike F.C. Tee brings a performance feel out of the stadium. It has the soft sensation you want from a favourite, with graphics honouring the biggest tournament in football.",1 795,https://www.nike.com/in/t/football-t-shirt-RbSS5g/DV9320-121
369,DQ7470-010,Jordan Essential,Black/WhiteStyle,Men's Fleece Shorts,"Gear up in everyday comfort. Made from soft fleece in a relaxed fit, these shorts feature an embroidered Jumpman logo that elevates a heritage style.",2 595,https://www.nike.com/in/t/jordan-essential-fleece-shorts-hTSdnc/DQ7470-010
370,DM4994-010,Nike Sportswear,Black/Washed TealStyle,Men's French Terry Pullover Hoodie,"Rebel against cold, dreary days with the Nike Sportswear Pullover Hoodie. Made from French terry fabric, its versatile warmth is perfect for cool-weather layering. The printed graphics bring a sense of joy and positivity that can't help but make you smile.",4 995,https://www.nike.com/in/t/sportswear-french-terry-pullover-hoodie-3sJg7R/DM4994-010
